Id,Host ID,Host ID Label,dvc,TrendMicroDsTenant,TrendMicroDsTenantId,act,smac,dmac,TrendMicroDsFrameType,src,dst,in,cs3,cs3Label,proto,spt,dpt,cs2,cs2Label,cnt
0,710,Host ID,172.19.0.35,Primary,0,Deny,FE:FC:FE:24:8D:06,00:09:0F:09:00:09,IP,172.19.0.1,172.19.0.35,86,,,TCP,51614,80,SYN,TCP Flags,1
1,716,Host ID,192.168.90.11,Primary,0,Deny,FA:16:3E:3D:89:49,FA:16:3E:0B:01:F6,IP,131.159.24.205,192.168.0.5,86,,,TCP,59704,80,SYN,TCP Flags,1
2,706,Host ID,172.19.0.33,Primary,0,Deny,FE:FC:FE:0A:D9:00,FE:FC:FE:33:74:5F,IP,172.19.0.86,172.19.0.33,74,DF 0,Fragmentation Bits,TCP,51658,445,,TCP Flags,1
3,706,Host ID,172.19.0.33,Primary,0,Deny,FE:FC:FE:0A:D9:00,FE:FC:FE:33:74:5F,IP,172.19.0.86,172.19.0.33,74,,,TCP,51659,445,URG PSH SYN FIN,TCP Flags,1
4,705,Host ID,172.19.0.32,Primary,0,Deny,FE:FC:FE:57:4C:80,FE:FC:FE:33:74:5F,IP,172.19.0.86,172.19.0.32,74,DF 0,Fragmentation Bits,TCP,51658,445,,TCP Flags,1
5,705,Host ID,172.19.0.32,Primary,0,Deny,FE:FC:FE:57:4C:80,FE:FC:FE:33:74:5F,IP,172.19.0.86,172.19.0.32,74,,,TCP,51659,445,URG PSH SYN FIN,TCP Flags,1
6,710,Host ID,172.19.0.35,Primary,0,Deny,FE:FC:FE:24:8D:06,FE:FC:FE:33:74:5F,IP,172.19.0.86,172.19.0.35,74,DF 0,Fragmentation Bits,TCP,51658,445,,TCP Flags,1
7,710,Host ID,172.19.0.35,Primary,0,Deny,FE:FC:FE:24:8D:06,FE:FC:FE:33:74:5F,IP,172.19.0.86,172.19.0.35,74,,,TCP,51659,445,URG PSH SYN FIN,TCP Flags,1
8,710,Host ID,172.19.0.35,Primary,0,Deny,FE:FC:FE:24:8D:06,FE:FC:FE:33:74:5F,IP,172.19.0.86,172.19.0.35,0,DF 0,Fragmentation Bits,TCP,51658,445,,TCP Flags,3
9,710,Host ID,172.19.0.35,Primary,0,Deny,FE:FC:FE:24:8D:06,FE:FC:FE:33:74:5F,IP,172.19.0.86,172.19.0.35,0,,,TCP,51659,445,URG PSH SYN FIN,TCP Flags,3
10,709,Host ID,172.19.0.36,Primary,0,Deny,FE:FC:FE:24:8D:0D,FE:FC:FE:33:74:5F,IP,172.19.0.86,172.19.0.36,74,DF 0,Fragmentation Bits,TCP,51658,445,,TCP Flags,1
11,709,Host ID,172.19.0.36,Primary,0,Deny,FE:FC:FE:24:8D:0D,FE:FC:FE:33:74:5F,IP,172.19.0.86,172.19.0.36,74,,,TCP,51659,445,URG PSH SYN FIN,TCP Flags,1
12,714,Host ID,172.19.0.37,Primary,0,Deny,FE:FC:FE:43:8D:62,FE:FC:FE:33:74:5F,IP,172.19.0.86,172.19.0.37,74,DF 0,Fragmentation Bits,TCP,51658,445,,TCP Flags,1
13,714,Host ID,172.19.0.37,Primary,0,Deny,FE:FC:FE:43:8D:62,FE:FC:FE:33:74:5F,IP,172.19.0.86,172.19.0.37,74,,,TCP,51659,445,URG PSH SYN FIN,TCP Flags,1
14,711,Host ID,172.19.0.38,Primary,0,Deny,FE:FC:FE:24:8D:02,FE:FC:FE:33:74:5F,IP,172.19.0.86,172.19.0.38,74,DF 0,Fragmentation Bits,TCP,51658,445,,TCP Flags,1
15,711,Host ID,172.19.0.38,Primary,0,Deny,FE:FC:FE:24:8D:02,FE:FC:FE:33:74:5F,IP,172.19.0.86,172.19.0.38,74,,,TCP,51659,445,URG PSH SYN FIN,TCP Flags,1
16,717,Host ID,172.19.0.39,Primary,0,Deny,FE:FC:FE:4A:99:F9,FE:FC:FE:33:74:5F,IP,172.19.0.86,172.19.0.39,74,DF 0,Fragmentation Bits,TCP,51658,445,,TCP Flags,1
17,717,Host ID,172.19.0.39,Primary,0,Deny,FE:FC:FE:4A:99:F9,FE:FC:FE:33:74:5F,IP,172.19.0.86,172.19.0.39,74,,,TCP,51659,445,URG PSH SYN FIN,TCP Flags,1
18,707,Host ID,172.19.0.34,Primary,0,Deny,FE:FC:FE:0A:D9:02,FE:FC:FE:33:74:5F,IP,172.19.0.86,172.19.0.34,74,DF 0,Fragmentation Bits,TCP,51658,445,,TCP Flags,1
19,707,Host ID,172.19.0.34,Primary,0,Deny,FE:FC:FE:0A:D9:02,FE:FC:FE:33:74:5F,IP,172.19.0.86,172.19.0.34,74,,,TCP,51659,445,URG PSH SYN FIN,TCP Flags,1
20,707,Host ID,172.19.0.34,Primary,0,Deny,FE:FC:FE:0A:D9:02,FE:FC:FE:33:74:5F,IP,172.19.0.86,172.19.0.34,0,DF 0,Fragmentation Bits,TCP,51658,445,,TCP Flags,3
21,707,Host ID,172.19.0.34,Primary,0,Deny,FE:FC:FE:0A:D9:02,FE:FC:FE:33:74:5F,IP,172.19.0.86,172.19.0.34,0,,,TCP,51659,445,URG PSH SYN FIN,TCP Flags,3
22,707,Host ID,172.19.0.34,Primary,0,Deny,FE:FC:FE:0A:D9:02,FE:FC:FE:33:74:5F,IP,172.19.0.86,172.19.0.34,74,DF 0,Fragmentation Bits,TCP,51658,445,,TCP Flags,1
23,707,Host ID,172.19.0.34,Primary,0,Deny,FE:FC:FE:0A:D9:02,FE:FC:FE:33:74:5F,IP,172.19.0.86,172.19.0.34,74,,,TCP,51659,445,URG PSH SYN FIN,TCP Flags,1
24,707,Host ID,172.19.0.34,Primary,0,Deny,FE:FC:FE:0A:D9:02,FE:FC:FE:33:74:5F,IP,172.19.0.86,172.19.0.34,0,DF 0,Fragmentation Bits,TCP,51658,445,,TCP Flags,15
25,707,Host ID,172.19.0.34,Primary,0,Deny,FE:FC:FE:0A:D9:02,FE:FC:FE:33:74:5F,IP,172.19.0.86,172.19.0.34,0,,,TCP,51659,445,URG PSH SYN FIN,TCP Flags,15
26,711,Host ID,172.19.0.38,Primary,0,Deny,FE:FC:FE:24:8D:02,FE:FC:FE:33:74:5F,IP,172.19.0.86,172.19.0.38,0,DF 0,Fragmentation Bits,TCP,51658,445,,TCP Flags,3
27,711,Host ID,172.19.0.38,Primary,0,Deny,FE:FC:FE:24:8D:02,FE:FC:FE:33:74:5F,IP,172.19.0.86,172.19.0.38,0,,,TCP,51659,445,URG PSH SYN FIN,TCP Flags,3
28,714,Host ID,172.19.0.37,Primary,0,Deny,FE:FC:FE:43:8D:62,FE:FC:FE:33:74:5F,IP,172.19.0.86,172.19.0.37,0,DF 0,Fragmentation Bits,TCP,51658,445,,TCP Flags,3
29,714,Host ID,172.19.0.37,Primary,0,Deny,FE:FC:FE:43:8D:62,FE:FC:FE:33:74:5F,IP,172.19.0.86,172.19.0.37,0,,,TCP,51659,445,URG PSH SYN FIN,TCP Flags,3
30,717,Host ID,172.19.0.39,Primary,0,Deny,FE:FC:FE:4A:99:F9,FE:FC:FE:33:74:5F,IP,172.19.0.86,172.19.0.39,0,DF 0,Fragmentation Bits,TCP,51658,445,,TCP Flags,3
31,717,Host ID,172.19.0.39,Primary,0,Deny,FE:FC:FE:4A:99:F9,FE:FC:FE:33:74:5F,IP,172.19.0.86,172.19.0.39,0,,,TCP,51659,445,URG PSH SYN FIN,TCP Flags,3
32,705,Host ID,172.19.0.32,Primary,0,Deny,FE:FC:FE:57:4C:80,FE:FC:FE:33:74:5F,IP,172.19.0.86,172.19.0.32,0,DF 0,Fragmentation Bits,TCP,51658,445,,TCP Flags,3
33,705,Host ID,172.19.0.32,Primary,0,Deny,FE:FC:FE:57:4C:80,FE:FC:FE:33:74:5F,IP,172.19.0.86,172.19.0.32,0,,,TCP,51659,445,URG PSH SYN FIN,TCP Flags,3
34,706,Host ID,172.19.0.33,Primary,0,Deny,FE:FC:FE:0A:D9:00,FE:FC:FE:33:74:5F,IP,172.19.0.86,172.19.0.33,0,DF 0,Fragmentation Bits,TCP,51658,445,,TCP Flags,3
35,706,Host ID,172.19.0.33,Primary,0,Deny,FE:FC:FE:0A:D9:00,FE:FC:FE:33:74:5F,IP,172.19.0.86,172.19.0.33,0,,,TCP,51659,445,URG PSH SYN FIN,TCP Flags,3
36,709,Host ID,172.19.0.36,Primary,0,Deny,FE:FC:FE:24:8D:0D,FE:FC:FE:33:74:5F,IP,172.19.0.86,172.19.0.36,0,DF 0,Fragmentation Bits,TCP,51658,445,,TCP Flags,3
37,709,Host ID,172.19.0.36,Primary,0,Deny,FE:FC:FE:24:8D:0D,FE:FC:FE:33:74:5F,IP,172.19.0.86,172.19.0.36,0,,,TCP,51659,445,URG PSH SYN FIN,TCP Flags,3
